id,name_display,brand_display,image_url,buy_url,price_num,rating_num,sold_num,gender,year,bag_text
0,Parfum Nautica Voyage Men EDT 100 ml Product,Nautica,https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/11e5533574c144e8b9328d33d9d0a392~.jpeg.webp?ect=4g,https://www.tokopedia.com/gpi-lndonesia/parfum-nautica-voyage-men-edt-100-ml-product-1729628663533636585,275000,4.9,10000.0,Pria,2006.0,nautica nautica nautica green green aquatic aquatic fruity fruity apple green_leaves lotus mimosa musk cedar oakmoss amber
1,Parfum Armaf Club de Nuit Intense EDT for Men EDT 105 ml,Armaf,https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/00a105f5eea9403c86f40068aad65a29~.jpeg.webp?ect=4g,https://www.tokopedia.com/gpi-lndonesia/parfum-armaf-club-de-nuit-intense-edt-for-men-edt-105-ml-1729628672627674089,510000,4.9,8000.0,Pria,2015.0,armaf armaf armaf citrus citrus fruity fruity leather leather lemon pineapple bergamot black_currant apple birch jasmine rose musk ambergris patchouli vanilla
2,Parfum La Rive Heroic Man for Men EDT 100 ml,La Rive,https://images.tokopedia.net/img/cache/200-square/o3syd0/1997/1/1/2fe22f2b6c4d45e5ac6d4996368b22ae~.jpeg.webp?ect=4g,https://www.tokopedia.com/gpi-lndonesia/parfum-la-rive-heroic-man-for-men-edt-100-ml-1729628681960721385,165000,4.9,2000.0,Pria,,la_rive la_rive la_rive spicy spicy sweet sweet aromatic aromatic cardamom pink_pepper violet_leaf mint pineapple melon sage cinnamon lavender vanilla chestnut amber cedarwood guaiac_wood
3,Parfum La Rive Travel Size Collection for Women EDT 30 ml Product,La Rive,https://images.tokopedia.net/img/cache/200-square/o3syd0/1997/1/1/2924f388d5c94523a16b69bdefa7acc3~.jpeg.webp?ect=4g,https://www.tokopedia.com/gpi-lndonesia/parfum-la-rive-travel-size-collection-for-women-edt-30-ml-product-1729634010194086889,65000,4.9,3000.0,Wanita,,la_rive la_rive la_rive varies varies varies varies varies varies varies_by_variant varies_by_variant varies_by_variant
4,Parfum Blue Seduction for Men EDT 100 ml Product,Antonio Banderas,https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/59239fe0857446a8bb27c8bc8389144d~.jpeg.webp?ect=4g,https://www.tokopedia.com/gpi-lndonesia/parfum-blue-seduction-for-men-edt-100-ml-product-1730273327476082665,275000,4.9,1000.0,Pria,2007.0,antonio_banderas antonio_banderas antonio_banderas marine marine aromatic aromatic fruity fruity melon bergamot mint black_currant seawater green_apple cappuccino nutmeg cardamom amber woodsy_notes
5,Parfum Rasasi Daarej Pour Homme EDP 100 ml,Rasasi,https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/3d7a162f7bde4dd0a75a94433b77dfb1~.jpeg.webp?ect=4g,https://www.tokopedia.com/gpi-lndonesia/parfum-rasasi-daarej-pour-homme-edp-100-ml-1729628691217419241,300000,5.0,1000.0,Pria,,rasasi rasasi rasasi warm_spicy warm_spicy vanilla vanilla powdery powdery cumin cardamom artemisia rose orris_root vanilla tonka_bean amber sandalwood patchouli
6,Parfum La Rive Travel Size Collection for Men EDT 30 ml Product,La Rive,https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/9ada164cc4bd4bb88d01f0619396ee82~.jpeg.webp?ect=4g,https://www.tokopedia.com/gpi-lndonesia/parfum-la-rive-travel-size-collection-for-men-edt-30-ml-product-1729634006403222505,65000,4.9,1000.0,Pria,,la_rive la_rive la_rive varies varies varies varies varies varies varies_by_variant varies_by_variant varies_by_variant
7,Parfum Fragrance World La Uno Forever Blue for Men EDP 100 ml,Fragrance World,https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/fedbc27a70074a6490b0493d94bce5d3~.jpeg.webp?ect=4g,https://www.tokopedia.com/gpi-lndonesia/parfum-fragrance-world-la-uno-forever-blue-for-men-edp-100-ml-1729969820788624361,225000,4.9,1000.0,Pria,2022.0,fragrance_world fragrance_world fragrance_world citrus citrus aromatic aromatic fresh_spicy fresh_spicy grapefruit italian_bergamot ozonic_notes violet_leaf java_vetiver_oil white_musk patchouli
8,Parfum Fragrance World F Le Parfum for Men EDP 100 ml,Fragrance World,https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/4cb9316ce19f4562853f85b79b615068~.jpeg.webp?ect=4g,https://www.tokopedia.com/gpi-lndonesia/parfum-fragrance-world-f-le-parfum-for-men-edp-100-ml-1729628631675341801,235000,4.9,1000.0,Pria,,fragrance_world fragrance_world fragrance_world aromatic aromatic fresh_spicy fresh_spicy woody woody apple aldehydes grapefruit ginger sage lavender geranium tonka_bean cedar olibanum patchouli
9,Parfum Pend*ra Allusion Eau de Sport Extreme for Men EDP 100 ml,Pendora Scents,https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/434cee96fb434430850e4a69fec79894~.jpeg.webp?ect=4g,https://www.tokopedia.com/gpi-lndonesia/parfum-pend-ra-allusion-eau-de-sport-extreme-for-men-edp-100-ml-1729638826963864553,255000,4.9,750.0,Pria,,pendora_scents pendora_scents pendora_scents aromatic aromatic green green fresh_spicy fresh_spicy mandarin mint cypress sage pepper tonka_bean musk sandalwood cedar
10,Parfum French Avenue Divin Asylum for Unisex EDP 100 ml,French Avenue,https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/bfd0c3a474574da7a5fddb853026aa24~.jpeg.webp?ect=4g,https://www.tokopedia.com/gpi-lndonesia/parfum-french-avenue-divin-asylum-for-unisex-edp-100-ml-1729669477820238825,465000,4.9,1000.0,Unisex,,french_avenue french_avenue french_avenue citrus citrus woody woody aromatic aromatic grapefruit bergamot thyme lemon lime vetiver juniper black_currant apple pink_pepper cedar rose ambergris leather vanilla benzoin labdanum
11,Parfum Uomo Signature Men EDP Pour Homme 100 ml,Salvatore Ferragamo,https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/f259b6e079a643b183940468f24651b3~.jpeg.webp?ect=4g,https://www.tokopedia.com/gpi-lndonesia/parfum-uomo-signature-men-edp-pour-homme-100-ml-1731424189854812137,695000,5.0,750.0,Pria,2018.0,salvatore_ferragamo salvatore_ferragamo salvatore_ferragamo warm_spicy warm_spicy leather leather coffee coffee grapefruit italian_mandarin pink_pepper cypress cardamom cinnamon tonka_bean roasted_coffee_beans leather patchouli
12,Parfum Lattafa Bade'e Al Oud Oud for Glory for Unisex EDP 100 ml GPI,Lattafa,https://images.tokopedia.net/img/cache/200-square/o3syd0/1997/1/1/c8ba994a50f04af6845156128614194b~.jpeg.webp?ect=4g,https://www.tokopedia.com/gpi-lndonesia/lattafa-bade-e-al-oud-oud-for-glory-for-unisex-edp-100-ml,385000,4.9,750.0,Unisex,2020.0,lattafa lattafa lattafa oud oud warm_spicy warm_spicy woody woody saffron nutmeg lavender agarwood_oud patchouli agarwood_oud patchouli musk
13,Parfum Fragrance World L Uomo for Men EDP 100 ml,Fragrance World,https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/65a87c5c1b65490cadf6e68f49a594e8~.jpeg.webp?ect=4g,https://www.tokopedia.com/gpi-lndonesia/parfum-fragrance-world-l-uomo-for-men-edp-100-ml-1729640735403248617,235000,5.0,750.0,Pria,,fragrance_world fragrance_world fragrance_world warm_spicy warm_spicy citrus citrus woody woody ginger bergamot lemon spices white_pepper basil violet_leaf tonka_bean tahitian_vetiver cedar
14,Parfum La Rive Extreme Story for Men EDT 75ml,La Rive,https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/4c74460b781d46d69e226bcdf38057eb~.jpeg.webp?ect=4g,https://www.tokopedia.com/gpi-lndonesia/parfum-la-rive-extreme-story-for-men-edt-75ml-1729634008145169385,165000,4.9,500.0,Pria,,la_rive la_rive la_rive aromatic aromatic fresh_spicy fresh_spicy woody woody bergamot mountain_air elemi lavender cardamom rose peony violet geranium vetiver patchouli amber leather
15,Parfum La Rive In for Women EDP 90ml,La Rive,https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/435acf3301c94585ac64a2ef587121a2~.jpeg.webp?ect=4g,https://www.tokopedia.com/gpi-lndonesia/parfum-la-rive-in-for-women-edp-90ml-1729634006645378025,165000,4.9,750.0,Wanita,2014.0,la_rive la_rive la_rive vanilla vanilla aromatic aromatic green green black_currant_leaf rose_de_mai freesia vanilla patchouli woody_notes ambroxan
16,Parfum Cool Water for Men EDT 200 ml Product,Davidoff,https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/68af9151a6e2410f900175900cd31498~.jpeg.webp?ect=4g,https://www.tokopedia.com/gpi-lndonesia/parfum-cool-water-for-men-edt-200-ml-product-1731424193534265321,615000,5.0,500.0,Pria,1988.0,davidoff davidoff davidoff aromatic aromatic marine marine green green seawater lavender mint green_notes rosemary sandalwood jasmine geranium neroli musk tobacco oakmoss cedar amber
17,Parfum Jaguar Classic Gold for Men EDT 100 ml Product,Jaguar,https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/5ff7d8e3f3ab47afae81161f4df78c15~.jpeg.webp?ect=4g,https://www.tokopedia.com/gpi-lndonesia/parfum-jaguar-classic-gold-for-men-edt-100-ml-product-1729585003946543081,270000,4.9,500.0,Pria,2013.0,jaguar jaguar jaguar citrus citrus woody woody vanilla vanilla apple lime bergamot orange_blossom teak_wood vanilla patchouli musk
18,Parfum Armaf Club de Nuit Intense for Men EDP 200ml Product,Armaf,https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/3b81e0f4eb254068826606b6fb6909be~.jpeg.webp?ect=4g,https://www.tokopedia.com/gpi-lndonesia/armaf-club-de-nuit-intense-for-men-edp-200ml-product,1040000,5.0,500.0,Pria,2019.0,armaf armaf armaf citrus citrus fruity fruity smoky/leather smoky/leather lemon pineapple bergamot black_currant apple birch jasmine rose musk ambergris patchouli vanilla
19,Parfum Armaf Club de Nuit Intense for Men EDP 200ml Product,Armaf,https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/3b81e0f4eb254068826606b6fb6909be~.jpeg.webp?ect=4g,https://www.tokopedia.com/gpi-lndonesia/armaf-club-de-nuit-intense-for-men-edp-200ml-product,1040000,5.0,500.0,Pria,2019.0,armaf armaf armaf citrus citrus fruity fruity smoky/leather smoky/leather lemon pineapple bergamot black_currant apple birch jasmine rose musk ambergris patchouli vanilla
20,Parfum Georges Mezotti Base Track Pure Senses for Men EDT 100ml,Georges Mezotti,https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/70136283bb834a6aa99d0da7cbc41760~.jpeg.webp?ect=4g,https://www.tokopedia.com/gpi-lndonesia/georges-mezotti-base-track-pure-senses-for-men-edt-100ml,150000,4.9,500.0,Pria,,georges_mezotti georges_mezotti georges_mezotti citrus citrus woody woody fresh_spicy fresh_spicy orange grapefruit pepper pelargonium_geranium patchouli cedar vetiver benzoin
21,Parfum Armaf Club De Nuit Intense for Women EDP 105ml product,Armaf,https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/606a33b1fadc46c0968a8f1a39f83ecd~.jpeg.webp?ect=4g,https://www.tokopedia.com/gpi-lndonesia/parfum-armaf-club-de-nuit-intense-for-women-edp-105ml-product-1729628679145950185,505000,4.9,500.0,Wanita,2013.0,armaf armaf armaf warm_spicy warm_spicy rose rose earthy earthy rose saffron geranium nutmeg violet pepper caraway patchouli agarwood_oud vanilla amber
22,Parfum Jaguar Classic  Blue for Men EDT 100 ml Product,Jaguar,https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/4b6373f531fa44fe95d55f3bead3a676~.jpeg.webp?ect=4g,https://www.tokopedia.com/gpi-lndonesia/parfum-jaguar-classic-blue-for-men-edt-100-ml-product-1729585003453057001,270000,4.9,500.0,Pria,2002.0,jaguar jaguar jaguar fresh_spicy fresh_spicy aromatic aromatic citrus citrus orange juniper_berries lavender mandarin basil star_anise ginger orange_blossom lotus sandalwood benzoin white_musk
23,Parfum Lalique Encre Noire Sport for Men EDT 100 ml Product,Lalique,https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/3cc26ae7098f4a1fb4f7f0d2c7c3a0f9~.jpeg.webp?ect=4g,https://www.tokopedia.com/gpi-lndonesia/parfum-lalique-encre-noire-sport-for-men-edt-100-ml-product-1731424204781881321,475000,4.9,500.0,Pria,2013.0,lalique lalique lalique woody woody aromatic aromatic citrus citrus grapefruit bergamot nutmeg cypress lavender water_notes vetiver cashmere_wood musk
24,Parfum Armaf Club de Nuit Intense Pure Perfume for Men Parfum 150 ml Product,Armaf,https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/2db17e8914be4b61bf18341ca0fe4cbf~.jpeg.webp?ect=4g,https://www.tokopedia.com/gpi-lndonesia/parfum-armaf-club-de-nuit-intense-pure-perfume-for-men-parfum-150-ml-product-1729650771233573865,1030000,4.9,500.0,Pria,2022.0,armaf armaf armaf citrus citrus fruity fruity smoky smoky lemon pineapple bergamot black_currant apple birch jasmine rose musk ambergris patchouli vanilla
25,Parfum Rasasi Shuhrah for Men EDP 90 ml,Rasasi,https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/8a1f307d944f4a46a4c49491c1e112cd~.jpeg.webp?ect=4g,https://www.tokopedia.com/gpi-lndonesia/parfum-rasasi-shuhrah-for-men-edp-90-ml-1729628668413447145,405000,5.0,500.0,Pria,,rasasi rasasi rasasi floral floral leather leather smoky/green smoky/green tomato_leaf freesia rose cedar sandalwood jasmine rose leather agarwood_oud oakmoss amber musk
26,Parfum Mancera Red Tbc for Unisex EDP 120 ml,Mancera,https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/484599ac4287411fa4a4984d06416c2e~.jpeg.webp?ect=4g,https://www.tokopedia.com/gpi-lndonesia/parfum-mancera-red-tbc-for-unisex-edp-120-ml-1729650750406429673,1675000,4.9,500.0,Unisex,2017.0,mancera mancera mancera warm_spicy warm_spicy tobacco tobacco woody woody cinnamon agarwood_oud saffron incense nutmeg green_apple white_pear patchouli jasmine tobacco madagascar_vanilla amber sandalwood guaiac_wood white_musk
